Time QueueLength
8.696e-06 1
0.156710033679 2
0.838587259145 3
1.11317378391 4
1.4089795245 3
2.37527689708 4
2.91272170396 5
4.13763398201 4
4.19257775767 3
4.8878900734 4
4.94696265879 3
5.43052280498 2
5.49970380579 1
6.04010582144 0
6.12361416926 1
7.111508876 2
7.20093201482 1
7.29740424938 0
9.19138328578 1
9.78899794675 2
10.3993326342 1
10.7037580896 0
12.4684610144 1
12.8663065644 0
13.9485903397 1
15.5177801062 2
16.0229620641 3
18.6632836412 2
20.0630922497 1
20.5212198779 2
20.605067564 3
21.1172625991 2
21.6906933354 1
23.0053783195 2
23.145244173 1
23.4666993092 0
23.7271271672 1
23.911838601 0
23.9294940734 1
23.9919700059 0
26.5952554318 1
27.3215292167 0
27.375515578 1
27.7057705625 0
32.1706802542 1
32.2763651241 2
32.3614874618 3
32.9000864639 4
35.122668406 3
35.6237392027 4
35.747121633 3
37.1805674029 2
38.6511331024 1
38.7680482329 2
38.9168805128 3
40.2126721303 4
40.4103322605 3
41.3160266063 4
41.7028157414 3
41.9683383301 2
42.3340854897 1
42.7664315469 0
49.6716058495 1
50.6652923711 2
51.2554764882 3
51.5422887937 2
51.6041164197 3
52.3051791746 4
52.3129737689 3
52.5234165412 4
53.1607996606 3
53.9253350961 2
54.3251270711 3
54.6154471254 2
55.4241933868 1
57.6381952513 0
57.7797292769 1
57.9538059435 0
59.830185932 1
59.9699392255 0
61.2237958864 1
61.2267999952 0
61.5804800124 1
61.6107511933 2
61.7617360592 1
61.9612801669 0
64.6984909743 1
65.7542124256 0
67.1210296719 1
67.6084882827 0
68.3917519776 1
68.5513727617 0
69.1613401772 1
69.436132422 0
71.2369524081 1
71.397299066 0
72.1394634212 1
72.2924045661 0
72.7234018368 1
73.0462032901 2
73.1245809232 1
73.2592910743 0
73.73917893 1
74.1664674505 2
74.3170119644 3
74.7314578988 2
75.0162664481 1
75.3968934825 2
75.4899508867 1
75.5187364248 0
75.9448630841 1
76.0980387768 0
76.562632897 1
76.7032620264 0
77.1494811765 1
77.2569279999 2
77.3264553187 1
77.3388335174 2
77.5001137589 3
77.6182222074 2
77.8381981197 1
78.1751509449 2
78.2202501036 1
78.4626381278 0
81.156785134 1
81.4446346793 0
83.8190492862 1
84.5241797305 0
84.5271191366 1
85.4414552932 0
86.4174991982 1
87.4191808933 0
89.7769016728 1
90.9448026689 0
91.71161454 1
92.1561581541 0
96.5494604486 1
96.9289356467 2
97.3204086243 1
97.7316483467 2
97.854892721 1
98.4347802531 0
98.6868855045 1
99.7431794923 0
100.94752245 1
101.356225541 0
102.309743021 1
103.054156981 0
104.722887272 1
104.797794074 2
105.543654586 3
105.972632919 2
106.816830556 3
108.457146393 2
109.049097509 3
109.215638931 4
109.242295507 3
109.832928387 2
110.212334615 1
110.9352391 0
114.263827547 1
114.894059613 0
114.907525934 1
115.145172849 0
115.41239174 1
115.597690085 2
116.407964533 1
116.408843919 0
116.662162922 1
117.046616704 0
118.106064374 1
119.2472564 0
119.380796924 1
119.476999028 0
121.392410676 1
121.477682777 0
121.502768342 1
121.743378777 0
122.606208057 1
122.700136185 2
122.921626816 1
123.098577119 0
126.077787558 1
126.411911605 0
127.386903425 1
127.911893597 0
129.088962318 1
129.100343061 0
129.328552519 1
129.60833818 0
133.871340841 1
134.034351061 2
134.379077392 1
135.055261277 2
135.245990224 3
135.576308283 4
135.695398817 5
136.141402633 4
136.814381136 5
137.725025698 4
138.138299603 5
138.832236776 4
139.253372409 5
139.539468209 6
139.744079009 5
140.876602754 6
141.181964485 5
141.706389497 6
142.068669506 5
142.150811455 6
142.22303968 5
142.346772106 6
144.190765948 5
144.211292769 6
144.633301758 7
145.468789039 8
145.533987828 7
146.097595208 6
146.397137681 5
146.454368042 6
146.859532373 5
147.009096363 6
147.505597941 5
147.554371083 6
147.587093512 5
148.067288896 6
148.701177325 5
149.320336973 6
150.005369674 5
150.622848015 4
150.73779437 5
151.168860334 6
151.977793151 7
152.548776641 8
153.438981103 7
154.547941955 6
154.969258372 5
155.749511848 4
156.489347601 3
157.332402725 4
157.349139898 5
158.256836247 4
158.493540293 5
158.838076056 6
159.152893529 7
160.468724106 8
160.756016915 7
160.931262261 6
162.15867413 5
162.356305223 6
162.993898191 7
163.389080923 6
164.541851786 7
164.578753637 6
164.766504621 5
164.770767618 4
164.906103078 5
164.998648933 6
165.455333873 5
166.828432273 4
167.401888331 3
167.408250215 2
167.594375729 3
168.287214335 2
168.406380436 3
168.955109446 4
169.072526614 3
169.496648229 4
170.148555822 3
170.477461252 2
170.86946128 3
171.386207181 4
171.798772237 5
171.920537399 6
172.169912176 5
172.226777588 4
172.300031171 3
172.474710706 2
173.582287536 3
173.761209437 2
173.973876246 3
174.410922327 2
174.652703084 3
174.833686981 4
175.002397022 3
175.864616313 2
176.826858614 3
177.007696188 2
177.273783915 3
178.142389324 4
180.297145446 5
180.82391503 6
181.341541517 5
181.777725957 6
182.478891096 5
182.609577275 4
182.631554652 5
182.863326483 6
183.92137442 7
184.070927795 8
186.234755135 7
187.492853955 8
188.055541679 7
188.345262625 6
188.89749353 5
190.574396966 4
191.558866601 5
191.870521743 6
192.856338974 5
193.1623483 4
193.189380476 5
193.32709648 6
193.461176851 7
193.467952323 8
194.257477028 7
194.343586855 6
194.484274863 7
195.007052475 8
195.153691717 9
195.187117595 10
195.506464066 9
195.94456446 10
196.264441263 11
197.893142867 12
198.225026418 11
199.369679861 10
199.430148751 11
199.471310311 12
199.749756126 13
200.78342837 12
200.924580043 13
201.207508665 14
201.247793122 13
202.383579691 14
202.576985218 15
202.61077818 14
203.782196537 15
204.517750214 16
205.58979391 15
206.490077585 14
207.244081951 15
207.769750115 14
208.006675776 15
208.352488233 14
208.42007809 13
208.820288685 14
209.004891784 13
209.403961541 12
209.994425547 11
211.354171278 10
211.584013854 9
211.772006666 8
212.238049776 7
213.020429809 8
215.04689432 7
215.119825517 6
215.252042087 5
215.999303042 4
216.173755437 3
216.740614499 4
216.864101283 5
216.902959351 4
217.29930748 3
217.374940997 4
218.330333618 5
218.549486696 4
219.752763418 3
219.907926544 4
220.245520314 3
220.695068394 2
221.470520969 1
222.077623292 0
222.949139751 1
223.035881033 0
223.254713737 1
223.58333373 0
223.965134682 1
224.236066813 2
225.068943074 3
225.584717123 2
226.828000728 1
227.134068014 0
227.282806431 1
227.376667723 2
227.616665013 1
227.671217795 2
227.674811133 3
227.898553351 2
228.105361977 1
228.29264654 0
228.888918152 1
230.654393682 2
230.862974121 3
230.936229698 4
231.320643498 5
231.415136123 4
231.80851517 3
232.208148747 2
232.711381813 1
233.262600012 2
233.314156426 3
233.499074965 4
233.569873849 5
233.710411082 4
233.828063124 3
233.921267453 2
233.939274611 1
235.124210752 0
236.511193121 1
236.848427999 2
237.376654774 3
237.670829238 4
237.754500388 3
238.375198663 4
239.028444484 5
239.852731153 6
241.407254176 7
241.537177442 6
241.801244678 5
242.570254565 4
243.133458998 3
243.330576508 4
243.650270982 3
245.55093446 2
247.572214469 1
247.94560722 0
248.18402455 1
249.204352503 0
254.885913149 1
256.059591561 0
257.871462378 1
258.721980636 0
258.737985217 1
258.895401263 0
261.965743986 1
262.012346398 2
262.141852672 3
262.386749284 2
262.954537955 3
263.211107625 2
264.333576427 1
265.114587636 2
265.669842895 1
265.883016012 0
266.446647306 1
266.515236985 0
266.918260446 1
266.99468621 0
269.740255724 1
269.92335295 0
270.720175098 1
272.025534351 2
272.157105648 1
273.04823884 0
273.415199615 1
273.9781013 0
276.365146038 1
278.34222646 2
278.881371606 1
279.364885615 2
279.613959724 1
280.114827626 2
281.063896539 3
281.906189877 4
283.128146344 5
283.348488159 4
284.012261207 5
284.451004374 4
284.771644626 5
285.33989407 4
285.418496045 5
286.037601088 4
286.090597633 3
286.828874959 2
286.87893748 3
286.918591752 4
287.044559382 5
287.215482438 4
287.936316464 5
288.15994264 4
288.879738752 3
289.546596843 2
290.596784018 1
290.977699585 2
291.559330818 3
291.790792458 2
292.285451894 3
292.554788473 2
292.645293988 3
292.883436619 2
293.995591635 3
294.293820539 4
295.304932904 5
295.668163111 4
297.389523755 3
298.114808668 4
298.139057174 3
298.405603279 4
298.727358866 5
298.732722467 6
299.090578814 7
299.453931117 8
300.239354411 9
300.436864872 8
300.837875202 9
300.964537841 10
301.010437216 9
301.081439176 10
301.432910888 9
301.473094378 10
301.846170688 9
301.919327794 10
302.657265517 11
302.697570422 10
302.792347874 11
303.54452608 12
304.697162494 11
304.87101577 10
304.930471686 9
305.092110285 8
305.360422121 9
305.723412737 8
305.892663691 9
306.275292206 8
306.483163806 9
306.552082666 10
306.643934894 9
308.958774241 8
309.08477641 9
309.292875706 10
309.328328426 11
310.148988099 12
310.428652217 11
310.509677183 12
311.057387938 13
311.312625752 12
311.857418569 11
311.886112962 12
312.724591825 11
313.137209501 10
313.34737339 9
313.422646716 10
314.706543031 9
314.782203492 8
314.83277337 9
316.020469605 8
316.114618867 7
316.290198175 6
316.829417033 5
316.930817127 4
317.179950837 5
318.053802571 4
318.098766032 5
319.728652322 6
320.159110065 5
320.825558259 4
320.945548147 3
321.419534958 2
321.901804868 1
322.249113783 2
322.393349453 3
322.565204874 4
323.065204984 3
323.561087175 2
323.935223879 3
325.036251053 4
327.285834648 3
327.695696836 4
329.246342403 3
329.322695461 2
329.452618069 3
330.013107512 2
330.187509291 3
330.705569588 2
331.062418471 1
331.220471662 0
331.687505186 1
331.78054042 2
332.363372016 3
335.280210859 2
335.500957206 1
335.639623524 0
336.031345888 1
336.491547803 2
336.888611388 1
337.136322614 2
337.455790923 1
337.646529971 2
338.270079276 3
338.372413339 2
339.502589016 3
339.569961641 2
340.075258527 3
341.282136758 2
341.2917911 1
341.827352369 2
341.945291903 1
342.959616572 2
342.980641833 1
343.423297683 0
344.742531424 1
345.194671761 2
345.368598296 3
345.925358311 2
346.303255263 1
346.458906599 0
346.589911013 1
346.596137535 2
347.130797421 3
347.380836691 2
347.600007577 3
347.724736162 2
348.731551963 1
348.781475092 0
349.592952168 1
349.762404373 0
350.11841256 1
350.130010158 0
351.336783718 1
351.677380698 0
352.251295875 1
352.680809094 2
352.974057875 1
353.237887156 0
354.091868207 1
354.143206838 0
354.611181514 1
354.862525883 2
355.446313162 1
356.841372003 2
357.226689854 3
357.276077246 2
357.718277001 3
358.166259861 2
358.229958716 3
359.154665303 2
359.206465711 1
359.794982854 0
361.44163523 1
362.974481189 2
363.130524179 3
363.437997721 2
364.30856273 1
364.346685175 2
365.383244347 1
367.927555572 0
368.812447804 1
369.552838506 0
372.62734246 1
373.520059654 0
374.040934603 1
375.119413653 0
376.040869935 1
376.430408381 0
377.185419106 1
377.195860035 0
378.397733067 1
379.046688837 2
379.229853979 1
379.354553423 0
379.406562573 1
379.892420391 0
381.417874718 1
382.185651342 0
382.247798474 1
382.690922096 0
385.200788755 1
386.108920743 0
388.353583308 1
388.668755647 2
388.911397177 3
390.531524878 2
390.920142575 3
391.507678726 2
392.004528108 1
392.947205669 2
394.054673647 1
394.054713873 0
394.170158982 1
394.776297937 0
395.271145794 1
395.307591917 2
395.630426273 1
395.704073438 0
397.453803428 1
397.522506368 2
397.886729101 3
398.102389823 4
398.818212415 3
399.720006631 2
399.753567102 1
400.630617909 2
400.927759733 1
401.372720638 2
402.006109459 3
402.258441962 4
402.611845004 5
402.92307951 6
403.188474487 5
403.643170013 6
405.805393016 7
405.81320703 8
405.870659665 9
406.443914121 8
406.591362961 7
406.729525559 6
407.010076679 7
407.784367301 8
408.470364301 7
408.565830297 8
408.596378055 7
408.921534853 6
409.410448007 5
409.907195676 4
411.158747971 5
411.468074404 6
411.685624863 5
411.910290418 4
412.91594201 5
412.941291673 6
413.172657144 7
413.798750268 6
414.85329752 7
414.896455187 6
415.067426545 5
415.412865906 4
415.598123191 3
415.819754312 4
415.851335246 3
417.056161542 4
418.018365253 5
418.027378834 4
418.657146103 5
419.824851738 4
